Time [s],Value,Parity Error,Framing Error
1.794667,0x06,,
1.794762,0xA2,,
1.794856,0x00,,
1.794951,0x00,,
1.795046,0x57,,
1.795141,0xFF,,
1.801367,0x04,,
1.801463,0xA1,,
1.801558,0x5A,,
1.801654,0xFF,,
1.802372,0x06,,
1.802468,0xA1,,
1.802563,0xFF,,
1.802659,0xFF,,
1.802754,0x5A,,
1.80285,0xFD,,
1.809067,0x04,,
1.809162,0xA2,,
1.809258,0x59,,
1.809354,0xFF,,
1.810077,0x06,,
1.810172,0xA2,,
1.810267,0x00,,
1.810361,0x00,,
1.810456,0x57,,
1.810551,0xFF,,
1.816768,0x04,,
1.816863,0xA1,,
1.816959,0x5A,,
1.817054,0xFF,,
1.817777,0x06,,
1.817873,0xA1,,
1.817968,0xFF,,
1.818064,0xFF,,
1.818159,0x5A,,
1.818255,0xFD,,
1.824469,0x04,,
1.824564,0xA2,,
1.82466,0x59,,
1.824755,0xFF,,
1.825473,0x06,,
1.825567,0xA2,,
1.825662,0x00,,
1.825757,0x00,,
1.825852,0x57,,
1.825947,0xFF,,
1.832169,0x04,,
1.832265,0xA1,,
1.832361,0x5A,,
1.832456,0xFF,,
1.833175,0x06,,
1.833271,0xA1,,
1.833366,0xFF,,
1.833462,0xFF,,
1.833557,0x5A,,
1.833653,0xFD,,
1.839871,0x04,,
1.839967,0xA2,,
1.840062,0x59,,
1.840158,0xFF,,
1.840874,0x06,,
1.840969,0xA2,,
1.841064,0x00,,
1.841159,0x00,,
1.841254,0x57,,
1.841348,0xFF,,
1.847571,0x04,,
1.847667,0xA1,,
1.847762,0x5A,,
1.847858,0xFF,,
1.84858,0x06,,
1.848676,0xA1,,
1.848771,0xFF,,
1.848867,0xFF,,
1.848962,0x5A,,
1.849058,0xFD,,
1.855272,0x04,,
1.855368,0xA2,,
1.855463,0x59,,
1.855559,0xFF,,
1.85627,0x06,,
1.856365,0xA2,,
1.85646,0x00,,
1.856555,0x00,,
1.856649,0x57,,
1.856744,0xFF,,
1.862973,0x04,,
1.863068,0xA1,,
1.863164,0x5A,,
1.86326,0xFF,,
1.86398,0x06,,
1.864076,0xA1,,
1.864171,0xFF,,
1.864267,0xFF,,
1.864362,0x5A,,
1.864458,0xFD,,
1.870674,0x04,,
1.870769,0xA2,,
1.870865,0x59,,
1.87096,0xFF,,
1.871683,0x06,,
1.871778,0xA2,,
1.871873,0x00,,
1.871968,0x00,,
1.872062,0x57,,
1.872157,0xFF,,
1.878375,0x04,,
1.87847,0xA1,,
1.878566,0x5A,,
1.878661,0xFF,,
1.879379,0x06,,
1.879475,0xA1,,
1.87957,0xFF,,
1.879666,0xFF,,
1.879761,0x5A,,
1.879857,0xFD,,
1.886075,0x04,,
1.886171,0xA2,,
1.886267,0x59,,
1.886362,0xFF,,
1.887079,0x06,,
1.887173,0xA2,,
1.887268,0x00,,
1.887363,0x00,,
1.887458,0x57,,
1.887553,0xFF,,
1.893776,0x04,,
1.893872,0xA1,,
1.893967,0x5A,,
1.894063,0xFF,,
1.894784,0x06,,
1.89488,0xA1,,
1.894975,0xFF,,
1.895071,0xFF,,
1.895166,0x5A,,
1.895262,0xFD,,
1.901477,0x04,,
1.901573,0xA2,,
1.901668,0x59,,
1.901764,0xFF,,
1.902483,0x06,,
1.902578,0xA2,,
1.902673,0x00,,
1.902768,0x00,,
1.902863,0x57,,
1.902958,0xFF,,
1.909178,0x04,,
1.909273,0xA1,,
1.909369,0x5A,,
1.909465,0xFF,,
1.910189,0x06,,
1.910285,0xA1,,
1.91038,0xFF,,
1.910476,0xFF,,
1.910571,0x5A,,
1.910667,0xFD,,
1.916879,0x04,,
1.916974,0xA2,,
