Time [s],Value,Parity Error,Framing Error
6.206233,0xFF,,
6.206328,0x5A,,
6.206424,0xFD,,
6.212641,0x04,,
6.212737,0xA1,,
6.212833,0x5A,,
6.212928,0xFF,,
6.220342,0x04,,
6.220438,0xA2,,
6.220533,0x59,,
6.220629,0xFF,,
6.221351,0x06,,
6.221447,0xA2,,
6.221542,0xFE,,
6.221638,0xFF,,
6.221733,0x5A,,
6.221829,0xFD,,
6.228043,0x04,,
6.228139,0xA1,,
6.228234,0x5A,,
6.22833,0xFF,,
6.235744,0x04,,
6.23584,0xA2,,
6.235935,0x59,,
6.236031,0xFF,,
6.23675,0x06,,
6.236846,0xA2,,
6.236941,0xFE,,
6.237037,0xFF,,
6.237132,0x5A,,
6.237228,0xFD,,
6.243445,0x04,,
6.24354,0xA1,,
6.243636,0x5A,,
6.243732,0xFF,,
6.251146,0x04,,
6.251241,0xA2,,
6.251337,0x59,,
6.251432,0xFF,,
6.252152,0x06,,
6.252247,0xA2,,
6.252343,0xFE,,
6.252438,0xFF,,
6.252534,0x5A,,
6.252629,0xFD,,
6.258847,0x04,,
6.258942,0xA1,,
6.259038,0x5A,,
6.259133,0xFF,,
6.266547,0x04,,
6.266643,0xA2,,
6.266739,0x59,,
6.266834,0xFF,,
6.267557,0x06,,
6.267652,0xA2,,
6.267748,0xFE,,
6.267843,0xFF,,
6.267939,0x5A,,
6.268034,0xFD,,
6.274248,0x04,,
6.274344,0xA1,,
6.274439,0x5A,,
6.274535,0xFF,,
6.281949,0x04,,
6.282045,0xA2,,
6.28214,0x59,,
6.282236,0xFF,,
6.282956,0x06,,
6.283051,0xA2,,
6.283147,0xFE,,
6.283242,0xFF,,
6.283338,0x5A,,
6.283433,0xFD,,
6.289649,0x04,,
6.289745,0xA1,,
6.28984,0x5A,,
6.289936,0xFF,,
6.29735,0x04,,
6.297445,0xA2,,
6.297541,0x59,,
6.297637,0xFF,,
6.298355,0x06,,
6.298451,0xA2,,
6.298546,0xFE,,
6.298642,0xFF,,
6.298737,0x5A,,
6.298833,0xFD,,
6.305051,0x04,,
6.305146,0xA1,,
6.305242,0x5A,,
6.305337,0xFF,,
6.312752,0x04,,
6.312847,0xA2,,
6.312943,0x59,,
6.313038,0xFF,,
6.313763,0x06,,
6.313858,0xA2,,
6.313954,0xFE,,
6.314049,0xFF,,
6.314145,0x5A,,
6.31424,0xFD,,
6.320452,0x04,,
6.320548,0xA1,,
6.320644,0x5A,,
6.320739,0xFF,,
6.328153,0x04,,
6.328249,0xA2,,
6.328344,0x59,,
6.32844,0xFF,,
6.32916,0x06,,
6.329256,0xA2,,
6.329351,0xFE,,
6.329447,0xFF,,
6.329542,0x5A,,
6.329638,0xFD,,
6.335854,0x04,,
6.33595,0xA1,,
6.336045,0x5A,,
6.336141,0xFF,,
6.343555,0x04,,
6.343651,0xA2,,
6.343746,0x59,,
6.343842,0xFF,,
6.344565,0x06,,
