Time [s],Value,Parity Error,Framing Error
0.217611,0xA2,,
0.217706,0x59,,
0.217802,0xFF,,
0.218522,0x06,,
0.218618,0xA2,,
0.218713,0xFF,,
0.218809,0xFF,,
0.218904,0x59,,
0.219,0xFD,,
0.225215,0x04,,
0.225311,0xA1,,
0.225406,0x5A,,
0.225502,0xFF,,
0.226213,0x06,,
0.226308,0xA1,,
0.226403,0x00,,
0.226498,0x00,,
0.226593,0x58,,
0.226688,0xFF,,
0.232916,0x04,,
0.233012,0xA2,,
0.233107,0x59,,
0.233203,0xFF,,
0.233921,0x06,,
0.234017,0xA2,,
0.234112,0xFF,,
0.234208,0xFF,,
0.234303,0x59,,
0.234399,0xFD,,
0.240617,0x04,,
0.240712,0xA1,,
0.240808,0x5A,,
0.240904,0xFF,,
0.241618,0x06,,
0.241713,0xA1,,
0.241808,0x00,,
0.241903,0x00,,
0.241998,0x58,,
0.242092,0xFF,,
0.248318,0x04,,
0.248413,0xA2,,
0.248509,0x59,,
0.248604,0xFF,,
0.249326,0x06,,
0.249422,0xA2,,
0.249517,0xFF,,
0.249613,0xFF,,
0.249708,0x59,,
0.249804,0xFD,,
0.256018,0x04,,
0.256114,0xA1,,
0.25621,0x5A,,
0.256305,0xFF,,
0.257025,0x06,,
0.25712,0xA1,,
0.257215,0x00,,
0.257309,0x00,,
0.257404,0x58,,
0.257499,0xFF,,
0.263719,0x04,,
0.263815,0xA2,,
0.26391,0x59,,
0.264006,0xFF,,
0.264725,0x06,,
0.26482,0xA2,,
0.264916,0xFF,,
0.265011,0xFF,,
0.265107,0x59,,
0.265202,0xFD,,
0.27142,0x04,,
0.271516,0xA1,,
0.271611,0x5A,,
0.271707,0xFF,,
0.272426,0x06,,
0.272521,0xA1,,
0.272616,0x00,,
0.272711,0x00,,
0.272806,0x58,,
0.272901,0xFF,,
0.279121,0x04,,
0.279217,0xA2,,
0.279312,0x59,,
0.279408,0xFF,,
0.28013,0x06,,
0.280225,0xA2,,
0.280321,0xFF,,
0.280416,0xFF,,
0.280512,0x59,,
0.280607,0xFD,,
0.286821,0x04,,
0.286916,0xA1,,
0.287012,0x5A,,
0.287108,0xFF,,
0.287827,0x06,,
0.287922,0xA1,,
0.288017,0x00,,
0.288112,0x00,,
0.288207,0x58,,
0.288301,0xFF,,
0.294522,0x04,,
0.294617,0xA2,,
0.294713,0x59,,
0.294808,0xFF,,
0.295529,0x06,,
0.295624,0xA2,,
0.29572,0xFF,,
0.295815,0xFF,,
0.295911,0x59,,
0.296006,0xFD,,
0.302224,0x04,,
0.302319,0xA1,,
0.302415,0x5A,,
0.30251,0xFF,,
0.303225,0x06,,
0.30332,0xA1,,
0.303415,0x00,,
0.30351,0x00,,
0.303604,0x58,,
0.303699,0xFF,,
0.309923,0x04,,
0.310019,0xA2,,
0.310115,0x59,,
0.31021,0xFF,,
0.310934,0x06,,
0.311029,0xA2,,
0.311125,0xFF,,
0.31122,0xFF,,
0.311316,0x59,,
0.311411,0xFD,,
0.317624,0x04,,
0.31772,0xA1,,
0.317815,0x5A,,
0.317911,0xFF,,
0.318626,0x06,,
0.318721,0xA1,,
0.318815,0x00,,
0.31891,0x00,,
0.319005,0x58,,
0.3191,0xFF,,
0.325325,0x04,,
0.325421,0xA2,,
0.325516,0x59,,
0.325612,0xFF,,
0.326332,0x06,,
0.326428,0xA2,,
0.326523,0xFF,,
0.326619,0xFF,,
0.326714,0x59,,
0.32681,0xFD,,
0.333026,0x04,,
0.333122,0xA1,,
0.333217,0x5A,,
0.333313,0xFF,,
0.334024,0x06,,
0.334119,0xA1,,
0.334214,0x00,,
0.334309,0x00,,
0.334404,0x58,,
0.334499,0xFF,,
0.340727,0x04,,
0.340822,0xA2,,
0.340918,0x59,,
0.341014,0xFF,,
0.341731,0x06,,
0.341827,0xA2,,
0.341922,0xFF,,
0.342018,0xFF,,
0.342113,0x59,,
0.342209,0xFD,,
0.348428,0x04,,
0.348523,0xA1,,
0.348619,0x5A,,
0.348714,0xFF,,
0.34943,0x06,,
0.349524,0xA1,,
0.349619,0x00,,
0.349714,0x00,,
0.349809,0x58,,
0.349904,0xFF,,
0.356129,0x04,,
0.356224,0xA2,,
0.35632,0x59,,
0.356415,0xFF,,
0.357136,0x06,,
0.357232,0xA2,,
0.357327,0xFF,,
0.357423,0xFF,,
0.357518,0x59,,
0.357614,0xFD,,
0.363829,0x04,,
0.363925,0x83,,
0.364021,0x78,,
0.364116,0xFF,,
0.37153,0x04,,
0.371626,0xA1,,
0.371721,0x5A,,
0.371817,0xFF,,
0.372531,0x06,,
0.372626,0xA1,,
0.372721,0x00,,
0.372815,0x00,,
0.37291,0x58,,
0.373005,0xFF,,
0.379231,0x04,,
0.379327,0xA2,,
0.379422,0x59,,
0.379518,0xFF,,
0.380239,0x06,,
0.380335,0xA2,,
0.38043,0xFF,,
0.380526,0xFF,,
0.380621,0x59,,
0.380717,0xFD,,
0.386932,0x04,,
0.387028,0xA1,,
0.387123,0x5A,,
0.387219,0xFF,,
0.38793,0x06,,
0.388025,0xA1,,
0.38812,0x00,,
0.388214,0x00,,
0.388309,0x58,,
0.388404,0xFF,,
0.394633,0x04,,
0.394728,0xA2,,
0.394824,0x59,,
0.39492,0xFF,,
0.395639,0x06,,
0.395735,0xA2,,
0.39583,0xFF,,
0.395926,0xFF,,
0.396021,0x59,,
0.396117,0xFD,,
0.402334,0x04,,
0.402429,0xA1,,
0.402525,0x5A,,
0.40262,0xFF,,
0.403336,0x06,,
0.403431,0xA1,,
0.403526,0x00,,
0.403621,0x00,,
0.403715,0x58,,
0.40381,0xFF,,
0.410035,0x04,,
0.41013,0xA2,,
0.410226,0x59,,
0.410321,0xFF,,
0.411044,0x06,,
